rank,reporter_code,reporter,total_semiconductor_exports,export_share,cumulative_share,selected,selection_reason
1,HKG,"China, Hong Kong SAR",236542576344.106,0.2025391821510002,0.2025391821510002,TRUE,coverage_threshold
2,CHN,China,183967884450,0.15752219086490535,0.3600613730159056,TRUE,coverage_threshold
3,SGP,Singapore,157260844073.23605,0.13465433257408102,0.49471570558998657,TRUE,coverage_threshold
4,KOR,Rep. of Korea,137697909273,0.11790360263720435,0.6126193082271909,TRUE,coverage_threshold
5,MYS,Malaysia,94543215264.25098,0.08095246865702148,0.6935717768842123,TRUE,coverage_threshold
6,USA,USA,93964183144,0.08045667338038517,0.7740284502645975,TRUE,coverage_threshold
7,JPN,Japan,77753537215.27602,0.06657633513731602,0.8406047854019135,TRUE,coverage_threshold
8,DEU,Germany,34509664861.855995,0.02954884234987569,0.8701536277517892,TRUE,coverage_threshold
9,PHL,Philippines,30544577100,0.02615374263947523,0.8963073703912644,TRUE,coverage_threshold
10,NLD,Netherlands,27923469879.561005,0.023909424001525195,0.9202167943927896,TRUE,coverage_threshold
11,VNM,Viet Nam,14222285824.222004,0.012177808256240652,0.9323946026490302,TRUE,coverage_threshold
12,IRL,Ireland,12690980562.409006,0.010866630707806649,0.9432612333568369,TRUE,coverage_threshold
13,FRA,France,12416051619.235998,0.010631223263783147,0.95389245662062,TRUE,coverage_threshold
14,THA,Thailand,10417543810.606998,0.008920004322406333,0.9628124609430264,TRUE,coverage_threshold
15,ISR,Israel,5748929000,0.004922510762757154,0.9677349717057836,TRUE,coverage_threshold
16,MEX,Mexico,5404293377,0.004627417091666935,0.9723623887974505,TRUE,coverage_threshold
17,GBR,United Kingdom,4061699784.1870003,0.003477823591620094,0.9758402123890706,TRUE,coverage_threshold
18,ITA,Italy,3657082137.674,0.003131370414034893,0.9789715828031055,TRUE,coverage_threshold
19,AUT,Austria,3521581980.2960005,0.003015348632752068,0.9819869314358576,TRUE,coverage_threshold
20,BEL,Belgium,2745671450.8800006,0.002350976550232548,0.9843379079860901,TRUE,coverage_threshold
21,CZE,Czechia,1933322253,0.0016554039192813843,0.9859933119053715,TRUE,coverage_threshold
22,CHE,Switzerland,1820185490.5600002,0.001558530757206431,0.987551842662578,TRUE,coverage_threshold
23,CAN,Canada,1472234834.3190005,0.0012605985944932135,0.9888124412570712,TRUE,coverage_threshold
24,IND,India,1312336491.9659998,0.0011236859084642725,0.9899361271655355,TRUE,coverage_threshold
25,HUN,Hungary,1223089281,0.0010472681345578296,0.9909833953000933,TRUE,coverage_threshold
26,FIN,Finland,940170504.5130004,8.05019409231192e-4,0.9917884147093244,FALSE,not_selected
27,POL,Poland,836228527,7.160192662462975e-4,0.9925044339755708,FALSE,not_selected
28,MLT,Malta,814360396.3790002,6.972947162747722e-4,0.9932017286918455,FALSE,not_selected
29,ARE,United Arab Emirates,806983832.6719999,6.909785460385644e-4,0.9938927072378841,FALSE,not_selected
30,MAR,Morocco,789471815.6850002,6.75983911021139e-4,0.9945686911489053,FALSE,not_selected
31,SWE,Sweden,776310330.4749998,6.647144115021683e-4,0.9952334055604075,FALSE,not_selected
32,IDN,Indonesia,683256648.2499999,5.85037352998446e-4,0.9958184429134059,FALSE,not_selected
33,ESP,Spain,654625019.4109998,5.605215690819554e-4,0.9963789644824879,FALSE,not_selected
34,PRT,Portugal,517989062.96400005,4.4352726176141385e-4,0.9968224917442493,FALSE,not_selected
35,BGR,Bulgaria,494929446.2870002,4.2378250386344954e-4,0.9972462742481127,FALSE,not_selected
36,DNK,Denmark,469710995.0009999,4.021892474716236e-4,0.9976484634955843,FALSE,not_selected
37,SVK,Slovakia,343868899.01100004,2.944371649674401e-4,0.9979429006605518,FALSE,not_selected
38,ROU,Romania,269732222.37,2.3095776059831854e-4,0.9981738584211501,FALSE,not_selected
39,AUS,Australia,193919638.48700005,1.66043363479047e-4,0.9983399017846292,FALSE,not_selected
40,BRA,Brazil,168608517,1.4437075838386984e-4,0.9984842725430131,FALSE,not_selected
41,TUN,Tunisia,166888037.30900002,1.4289760054941885e-4,0.9986271701435625,FALSE,not_selected
42,NOR,Norway,164517632.565,1.4086794548420049e-4,0.9987680380890467,TRUE,focal_country
43,LVA,Latvia,149310216.211,1.2784662087290434e-4,0.9988958847099196,FALSE,not_selected
44,NZL,New Zealand,129104135.11299998,1.1054519800300128e-4,0.9990064299079227,FALSE,not_selected
