iso3_i,iso3_j,n_votes,n_agree,unga_sim
AUT,BEL,90,79,0.8777777777777778
AUT,CAN,90,62,0.6888888888888889
AUT,CHE,89,81,0.9101123595505618
AUT,CHN,88,43,0.48863636363636365
AUT,CZE,90,77,0.8555555555555555
AUT,DEU,90,78,0.8666666666666667
AUT,DNK,90,79,0.8777777777777778
AUT,FIN,90,81,0.9
AUT,FRA,90,71,0.7888888888888889
AUT,GBR,90,65,0.7222222222222222
AUT,HUN,90,76,0.8444444444444444
AUT,IND,90,45,0.5
AUT,IRL,90,86,0.9555555555555556
AUT,ISR,88,34,0.38636363636363635
AUT,ITA,90,77,0.8555555555555555
AUT,JPN,90,76,0.8444444444444444
AUT,KOR,90,71,0.7888888888888889
AUT,MEX,90,57,0.6333333333333333
AUT,MYS,90,52,0.5777777777777777
AUT,NLD,90,79,0.8777777777777778
AUT,NOR,90,77,0.8555555555555555
AUT,PHL,90,54,0.6
AUT,SGP,90,52,0.5777777777777777
AUT,SWE,90,84,0.9333333333333333
AUT,THA,90,54,0.6
AUT,USA,90,32,0.35555555555555557
AUT,VNM,88,48,0.5454545454545454
BEL,AUT,90,79,0.8777777777777778
BEL,CAN,90,67,0.7444444444444445
BEL,CHE,89,79,0.8876404494382022
BEL,CHN,88,42,0.4772727272727273
BEL,CZE,90,85,0.9444444444444444
BEL,DEU,90,87,0.9666666666666667
BEL,DNK,90,88,0.9777777777777777
BEL,FIN,90,82,0.9111111111111111
BEL,FRA,90,81,0.9
BEL,GBR,90,75,0.8333333333333334
BEL,HUN,90,84,0.9333333333333333
BEL,IND,90,43,0.4777777777777778
BEL,IRL,90,79,0.8777777777777778
BEL,ISR,88,39,0.4431818181818182
BEL,ITA,90,88,0.9777777777777777
BEL,JPN,90,75,0.8333333333333334
BEL,KOR,90,76,0.8444444444444444
BEL,MEX,90,50,0.5555555555555556
BEL,MYS,90,46,0.5111111111111111
BEL,NLD,90,88,0.9777777777777777
BEL,NOR,90,86,0.9555555555555556
BEL,PHL,90,48,0.5333333333333333
BEL,SGP,90,47,0.5222222222222223
BEL,SWE,90,82,0.9111111111111111
BEL,THA,90,48,0.5333333333333333
BEL,USA,90,37,0.4111111111111111
BEL,VNM,88,42,0.4772727272727273
CAN,AUT,90,62,0.6888888888888889
CAN,BEL,90,67,0.7444444444444445
CAN,CHE,89,62,0.6966292134831461
CAN,CHN,88,30,0.3409090909090909
CAN,CZE,90,68,0.7555555555555555
CAN,DEU,90,68,0.7555555555555555
CAN,DNK,90,67,0.7444444444444445
CAN,FIN,90,66,0.7333333333333333
CAN,FRA,90,60,0.6666666666666666
CAN,GBR,90,60,0.6666666666666666
CAN,HUN,90,67,0.7444444444444445
CAN,IND,90,31,0.34444444444444444
CAN,IRL,90,62,0.6888888888888889
CAN,ISR,88,52,0.5909090909090909
CAN,ITA,90,67,0.7444444444444445
CAN,JPN,90,59,0.6555555555555556
CAN,KOR,90,58,0.6444444444444445
