layer,reporter_code,reporter,partner_code,partner,trade_value_usd,weight_marketshare,source,weight_binary,weight_log,from,to,year
layer2_backend,AUT,Austria,BEL,Belgium,2965699.804,8.147293899862455e-5,Comtrade,1,14.902623921338899,AUT,BEL,2022
layer2_backend,AUT,Austria,CAN,Canada,3272273.851,9.753230445940676e-4,Comtrade,1,15.000995974093765,AUT,CAN,2022
layer2_backend,AUT,Austria,CHE,Switzerland,44671060.018999994,0.00369498711885321,Comtrade,1,17.614836445430367,AUT,CHE,2022
layer2_backend,AUT,Austria,CHN,China,204681635.07099995,0.018490986930678865,Comtrade,1,19.13696633518073,AUT,CHN,2022
layer2_backend,AUT,Austria,CZE,Czechia,19172980.667000003,7.557288388765831e-4,Comtrade,1,16.769012641111683,AUT,CZE,2022
layer2_backend,AUT,Austria,DEU,Germany,665563859.389,0.03240240053054086,Comtrade,1,20.31614514970661,AUT,DEU,2022
layer2_backend,AUT,Austria,DNK,Denmark,1125185.62,4.840950583849653e-6,Comtrade,1,13.933459464307798,AUT,DNK,2022
layer2_backend,AUT,Austria,FRA,France,21424650.316,0.00216319851432733,Comtrade,1,16.880052747683244,AUT,FRA,2022
layer2_backend,AUT,Austria,GBR,United Kingdom,22404146.658,5.98083683227355e-4,Comtrade,1,16.92475666298823,AUT,GBR,2022
layer2_backend,AUT,Austria,HKG,"China, Hong Kong SAR",26412350.915,2.9552678414866777e-4,Comtrade,1,17.08934233426508,AUT,HKG,2022
layer2_backend,AUT,Austria,HUN,Hungary,61411127.676,0.0023608045112361847,Comtrade,1,17.933101625488582,AUT,HUN,2022
layer2_backend,AUT,Austria,IND,India,2412556.525,3.334645911090713e-5,Comtrade,1,14.696197956470586,AUT,IND,2022
layer2_backend,AUT,Austria,IRL,Ireland,1733704.514,7.459016299258319e-6,Comtrade,1,14.365771591449974,AUT,IRL,2022
layer2_backend,AUT,Austria,ITA,Italy,27660545.253,0.004494478114320154,Comtrade,1,17.135517632848973,AUT,ITA,2022
layer2_backend,AUT,Austria,JPN,Japan,2596911.643,4.4717833633184167e-4,Comtrade,1,14.76983385242029,AUT,JPN,2022
layer2_backend,AUT,Austria,KOR,Rep. of Korea,34119579.088,2.961401637242545e-4,Comtrade,1,17.345381973595256,AUT,KOR,2022
layer2_backend,AUT,Austria,MEX,Mexico,11719605.661999999,3.0760142449824104e-4,Comtrade,1,16.27677378028715,AUT,MEX,2022
layer2_backend,AUT,Austria,MYS,Malaysia,357165108.02599996,0.009587765261535278,Comtrade,1,19.69370872309716,AUT,MYS,2022
layer2_backend,AUT,Austria,NLD,Netherlands,21885292.75,9.124162572515352e-4,Comtrade,1,16.90132545095251,AUT,NLD,2022
layer2_backend,AUT,Austria,PHL,Philippines,50553570.79,3.105195457761105e-4,Comtrade,1,17.73854415949044,AUT,PHL,2022
layer2_backend,AUT,Austria,SGP,Singapore,70125618.977,0.0032844277101909086,Comtrade,1,18.065798762794792,AUT,SGP,2022
layer2_backend,AUT,Austria,SWE,Sweden,6901549.09,6.257840690943404e-4,Comtrade,1,15.74725659506193,AUT,SWE,2022
layer2_backend,AUT,Austria,THA,Thailand,17678033.869,1.238638309976001e-4,Comtrade,1,16.68783345905272,AUT,THA,2022
layer2_backend,AUT,Austria,TWN,Chinese Taipei,1820482540,0.001740106723364965,OECD_BTIGE,1,21.32236743531131,AUT,TWN,2022
layer2_backend,AUT,Austria,USA,USA,48200619.977,0.00426568882119249,Comtrade,1,17.69088246227809,AUT,USA,2022
layer2_backend,BEL,Belgium,AUT,Austria,60045397.787,4.529892710170894e-4,Comtrade,1,17.910611480523766,BEL,AUT,2022
layer2_backend,BEL,Belgium,CAN,Canada,5973979.465,2.0236791376256238e-5,Comtrade,1,15.602924007749499,BEL,CAN,2022
layer2_backend,BEL,Belgium,CHE,Switzerland,47490582.143,1.9652622378909588e-4,Comtrade,1,17.67604199972976,BEL,CHE,2022
layer2_backend,BEL,Belgium,CHN,China,93818053.089,5.463958155876716e-4,Comtrade,1,18.356867869752026,BEL,CHN,2022
layer2_backend,BEL,Belgium,CZE,Czechia,27220394.691999998,9.739671429620292e-5,Comtrade,1,17.119477091893103,BEL,CZE,2022
layer2_backend,BEL,Belgium,DEU,Germany,699648630.589,0.007252033270387268,Comtrade,1,20.3660888121133,BEL,DEU,2022
layer2_backend,BEL,Belgium,DNK,Denmark,24244527.222,1.0168859643601136e-4,Comtrade,1,17.00370150955726,BEL,DNK,2022
layer2_backend,BEL,Belgium,FIN,Finland,17554229.639,1.278176444618742e-4,Comtrade,1,16.680805540876644,BEL,FIN,2022
layer2_backend,BEL,Belgium,FRA,France,133181421.42000002,9.957221246607172e-4,Comtrade,1,18.70722283502221,BEL,FRA,2022
layer2_backend,BEL,Belgium,GBR,United Kingdom,91921651.438,8.560106267859639e-4,Comtrade,1,18.3364471682579,BEL,GBR,2022
layer2_backend,BEL,Belgium,HKG,"China, Hong Kong SAR",87891353.928,5.093535799126207e-4,Comtrade,1,18.291612006601316,BEL,HKG,2022
layer2_backend,BEL,Belgium,HUN,Hungary,57766950.5,3.6632216367751965e-4,Comtrade,1,17.871927396761482,BEL,HUN,2022
layer2_backend,BEL,Belgium,IND,India,8135625.627,2.5095037242322415e-5,Comtrade,1,15.911763324187477,BEL,IND,2022
layer2_backend,BEL,Belgium,IRL,Ireland,10511437.884000001,4.380826423605499e-5,Comtrade,1,16.167974639666923,BEL,IRL,2022
layer2_backend,BEL,Belgium,ISR,Israel,96110750.444,8.397133637786732e-4,Comtrade,1,18.381011745351778,BEL,ISR,2022
layer2_backend,BEL,Belgium,ITA,Italy,169572534.01500002,0.0017091268648332725,Comtrade,1,18.948791328438368,BEL,ITA,2022
layer2_backend,BEL,Belgium,JPN,Japan,57884336.845,2.604882105057428e-4,Comtrade,1,17.873957402409953,BEL,JPN,2022
layer2_backend,BEL,Belgium,KOR,Rep. of Korea,41471082.243999995,1.3670066436434283e-4,Comtrade,1,17.54050695302923,BEL,KOR,2022
layer2_backend,BEL,Belgium,MEX,Mexico,24162986.358000003,9.033606271945289e-5,Comtrade,1,17.000332572310832,BEL,MEX,2022
layer2_backend,BEL,Belgium,MYS,Malaysia,63406392,1.9974412936411262e-4,Comtrade,1,17.965075250285995,BEL,MYS,2022
layer2_backend,BEL,Belgium,NLD,Netherlands,68601182.143,0.0018483338587205243,Comtrade,1,18.043820339529894,BEL,NLD,2022
layer2_backend,BEL,Belgium,NOR,Norway,15989474.425999999,6.830823642133238e-5,Comtrade,1,16.58744127789301,BEL,NOR,2022
layer2_backend,BEL,Belgium,PHL,Philippines,88939302.38800001,2.8216555074016015e-4,Comtrade,1,18.30346471063477,BEL,PHL,2022
layer2_backend,BEL,Belgium,SGP,Singapore,16068238.088000001,5.6420023965948805e-5,Comtrade,1,16.592355154111623,BEL,SGP,2022
layer2_backend,BEL,Belgium,SWE,Sweden,76491278.215,3.5795574158866864e-4,Comtrade,1,18.152687295109047,BEL,SWE,2022
layer2_backend,BEL,Belgium,THA,Thailand,35112762.391,1.2940202593059248e-4,Comtrade,1,17.374075251712174,BEL,THA,2022
layer2_backend,BEL,Belgium,USA,USA,62336562.199,0.0018463422893583716,Comtrade,1,17.948058700835084,BEL,USA,2022
layer2_backend,BEL,Belgium,VNM,Viet Nam,4324053.140000001,1.863183828147503e-5,Comtrade,1,15.279703978476912,BEL,VNM,2022
layer2_backend,CAN,Canada,BEL,Belgium,2559266.08,1.274011855718725e-4,Comtrade,1,14.755231478589971,CAN,BEL,2022
layer2_backend,CAN,Canada,CHE,Switzerland,1548915.213,4.777762244422257e-6,Comtrade,1,14.253066026909565,CAN,CHE,2022
layer2_backend,CAN,Canada,CHN,China,77470704.687,0.0012272765031156442,Comtrade,1,18.165410431731434,CAN,CHN,2022
layer2_backend,CAN,Canada,DEU,Germany,31331328.980000004,3.27881907548669e-4,Comtrade,1,17.260129112713614,CAN,DEU,2022
layer2_backend,CAN,Canada,DNK,Denmark,1173689.362,5.049631013087446e-6,Comtrade,1,13.975663498416091,CAN,DNK,2022
layer2_backend,CAN,Canada,FRA,France,10584687.798,2.2590375269963307e-4,Comtrade,1,16.174919061835485,CAN,FRA,2022
layer2_backend,CAN,Canada,GBR,United Kingdom,10934330.401,4.31032186639143e-4,Comtrade,1,16.207418067196716,CAN,GBR,2022
layer2_backend,CAN,Canada,HKG,"China, Hong Kong SAR",107150050.183,0.0013921629890045499,Comtrade,1,18.4897407575599,CAN,HKG,2022
layer2_backend,CAN,Canada,IND,India,3321923.1840000004,4.494346998759283e-5,Comtrade,1,15.016054746498796,CAN,IND,2022
layer2_backend,CAN,Canada,ITA,Italy,4263361.085,5.0471341824114504e-5,Comtrade,1,15.265568628804754,CAN,ITA,2022
layer2_backend,CAN,Canada,JPN,Japan,10263870.721,7.140492753657979e-5,Comtrade,1,16.144140687245496,CAN,JPN,2022
