iso3,name,out_deg_fe_2019,in_deg_fe_2019,out_deg_be_2019,in_deg_be_2019,out_deg_fe_2022,in_deg_fe_2022,out_deg_be_2022,in_deg_be_2022,rca_fe_2019,rca_fe_2022,rca_be_2019,rca_be_2022,patents,patents_share,patents_log,is_focal
AUT,Austria,15,13,23,21,16,16,25,24,0.5438072307725391,0.9332830688507276,0.1616072796840445,0.16486322877763238,59.47791120741102,0.00523102369898219,4.102278194360364,FALSE
BEL,Belgium,8,10,29,23,9,11,29,25,0.03106545575646418,0.014703411616431131,0.07054348522522126,0.06678578224932635,60.66203387578329,0.0053351661211859,4.121668407249441,FALSE
CAN,Canada,4,6,17,22,6,10,22,26,0.015478781617190672,0.022864979549244366,0.07542235647320283,0.06161462862004358,42.16246594323052,0.00370814734544825,3.764971273679727,FALSE
CHE,Switzerland,18,14,25,23,15,14,29,25,0.2220704756750817,0.1553363912455556,0.12187834333970725,0.10869760332979513,57.65576638115777,0.00507076785650867,4.07168588878585,FALSE
CHN,China,20,25,29,29,27,26,29,29,0.3452839440522528,0.36703277894763775,0.8360715962730904,0.7578936768671729,2027.2402988009983,0.17829378724447242,7.614923848224661,FALSE
CZE,Czechia,8,11,26,24,12,9,25,22,0.09686190776601393,0.08287908409615696,0.0873200835330439,0.07341977039131331,2.3377555343839855,2.0560329632533697e-4,1.2052985854048817,FALSE
DEU,Germany,27,20,29,29,28,23,29,29,0.5286954172525451,0.5483215613896395,0.2083406451474783,0.22435449690108064,390.6365288628472,0.03435609789731623,5.970334187365313,FALSE
DNK,Denmark,7,6,15,19,6,6,22,22,0,0,0,0,6.277422308921814,5.520931081789226e-4,1.9847767210632152,FALSE
FIN,Finland,2,7,20,21,4,9,18,22,0,0,0,0,20.33518886566162,0.00178845982853379,3.060357768987077,FALSE
FRA,France,14,17,29,27,17,17,29,28,0.23730462621421275,0.22056576914312892,0.21490660357878824,0.21760371737863582,210.8512573242188,0.01854416037202311,5.355884412028847,FALSE
GBR,United Kingdom,21,14,29,28,23,15,29,28,0.2717814484154167,0.24384807949698814,0.10115890997253321,0.10270788127142606,92.27082316080732,0.0081151280009752,4.535507338268684,FALSE
HKG,"China, Hong Kong SAR",11,16,27,27,16,18,29,28,0.6651853416634333,0.6813883559218633,2.892270012288263,3.461186436886672,9.70423330201043,8.534777592684463e-4,2.370639298926602,FALSE
HUN,Hungary,4,7,24,25,8,6,26,27,0.02966311298673024,0.01999160085270577,0.11221776564204046,0.10571791119780893,0.6206888883478112,5.458897628936492e-5,0.48285129857637743,FALSE
IND,India,4,11,17,25,6,15,19,26,0.012292563873797718,0.009933417324439465,0.0966584998413358,0.0871180879034757,28.74395518832737,0.00252800254313382,3.392625924399395,FALSE
IRL,Ireland,9,10,23,21,9,12,26,19,0.1456035405940753,0.08102385044124709,0.5415943803121482,0.5735338972001994,13.115999963548449,0.00115353927621827,2.6473089032307375,FALSE
ISR,Israel,15,12,24,20,15,15,26,22,1.8620372109092587,1.2196294494773514,0.7019507283683282,1.1208468420620625,34.73128859202067,0.00305458261786456,3.5760267360931097,FALSE
ITA,Italy,20,13,28,24,20,15,26,26,0.18323059037916412,0.1369905350938589,0.09939704309900275,0.09205616759662608,60.79014439053005,0.00534643331475617,4.123743875864624,FALSE
JPN,Japan,26,24,25,25,27,25,27,27,6.2980245483269375,6.294033641515956,1.40331369620699,1.4389276639533302,2354.6316765679253,0.2070875364057213,7.764564198325869,FALSE
KOR,Rep. of Korea,22,20,27,26,24,26,26,25,3.39679438359912,1.7835474999394554,2.117016915949277,2.383981010713723,1831.1477830674912,0.16104764365651128,7.513244209593878,FALSE
MEX,Mexico,1,4,19,26,5,9,17,27,0.04164740488606472,0.059408452102800366,0.0945598307466345,0.13508607791833063,1.03196669369936,9.076045412013428e-5,0.7090041386859189,FALSE
MYS,Malaysia,21,19,28,27,24,23,27,27,1.7840410999699579,2.418807816746717,2.849600613820063,2.7855879999904345,35.573299407958984,0.00312863663966121,3.59931844980222,FALSE
NLD,Netherlands,23,19,29,29,22,18,29,28,2.4964723370518507,3.3151227644166714,0.4543463648421667,0.30578997492825166,69.58092286851671,0.00611957362209637,4.256759893657768,FALSE
NOR,Norway,7,4,10,15,6,5,10,17,0.15878601146139718,0.030589759374832617,0.03876407161704966,0.020082902240764772,2.447311109966702,2.1523860127460384e-4,1.2375945387467642,TRUE
PHL,Philippines,9,11,28,23,13,14,28,22,0.7802951704887319,0.30822690771235484,3.736313592998195,4.037396303382263,10.455766833490795,9.195743930262193e-4,2.438493256789337,FALSE
SGP,Singapore,23,18,29,26,23,22,29,28,3.8087415175943273,4.954709817191958,2.447800947566259,2.6091826323587424,86.12383408016629,0.00757450636673376,4.467330486840974,FALSE
SWE,Sweden,5,9,19,23,6,8,24,26,0,0,0,0,16.899689144558376,0.00148631101237465,2.8847833464701256,FALSE
THA,Thailand,9,10,27,27,12,12,28,26,0.05524065786109134,0.05533073503439918,0.5970105663853882,0.62141203858572,3.2677778295344777,2.8739784101855834e-4,1.4510932771489125,FALSE
TWN,Chinese Taipei,0,0,29,29,27,27,29,29,0,0.30737663346928357,2.6089806566802656,2.3579742724853157,1485.736756430732,0.1306690841283226,7.304338900815892,FALSE
USA,USA,28,25,29,29,29,27,29,29,1.822379881731036,1.8758713378286689,0.5783398722358728,0.5381139971947392,2355.7134535047744,0.20718267762165837,7.765023322997764,FALSE
VNM,Viet Nam,6,12,20,20,10,12,22,24,0.09868776360336702,0.1851224117719512,0.7381599728425695,0.5935549984206449,0,NA,0,FALSE
