iso3,name,is_focal,gdp_usd,gdp_pc_usd,gdp_log,gdp_pc_log,nato,eu_member,chip4,wassenaar,western,semi_bloc
AUT,Austria,FALSE,473221298968.216,52336.7725223758,26.882828978539003,10.865473617333203,0,1,0,1,1,1
BEL,Belgium,FALSE,591085783326.267,50605.7496677086,27.105226993273266,10.831840239022013,1,1,0,1,1,1
CAN,Canada,FALSE,2190411080134.32,56256.8007264015,28.415110349966394,10.937699990032014,1,0,0,1,1,1
CHE,Switzerland,FALSE,828508926958.393,94394.5106803525,27.442893448600355,11.455248794650554,0,0,0,1,0,1
CHN,China,FALSE,18316765021690.2,12970.6056414327,30.53883787779672,9.470518066212144,0,0,0,0,0,0
CZE,Czechia,FALSE,301831228325.556,28282.2236715857,26.43313385150751,10.250024104729906,1,1,0,1,1,1
DEU,Germany,FALSE,4201021706478.62,50506.5179638543,29.066348875081644,10.8298774747547,1,1,0,1,1,1
DNK,Denmark,FALSE,400114306337.077,67781.0940939514,26.715016109076302,11.124053340138957,1,1,0,1,1,1
FIN,Finland,FALSE,280253099309.34,50440.560224974,26.35895895792884,10.828570721895744,0,1,0,1,1,1
FRA,France,FALSE,2794788137066.94,40988.6396406579,28.658777418971336,10.621074622063249,1,1,0,1,1,1
GBR,United Kingdom,FALSE,3181244350465.41,47057.043229179,28.788293541358843,10.75913708107643,1,0,0,1,1,1
HKG,"China, Hong Kong SAR",FALSE,358679533984.718,48825.8441873536,26.605695163781387,10.796035526405928,0,0,0,0,0,0
HUN,Hungary,FALSE,177002580544.155,18428.028825614,25.89943014876512,9.821682353975044,1,1,0,1,1,1
IND,India,FALSE,3346107287730.93,2347.44829434623,28.838818782453703,7.761510088765766,0,0,0,1,0,1
IRL,Ireland,FALSE,548341794599.09,105190.685952731,27.030164642240344,11.563539545295066,0,1,0,1,1,1
ISR,Israel,FALSE,525181008025.57,54949.621556429,26.9870088173095,10.914190271076786,0,0,0,0,0,0
ITA,Italy,FALSE,2104067630319.46,35653.9042103495,28.374893553975845,10.481641981888876,1,1,0,1,1,1
JPN,Japan,FALSE,4262463317796.53,34065.6438962526,29.080868352705853,10.43607399967595,0,0,1,1,0,1
KOR,Rep. of Korea,FALSE,1799363116866.52,34822.4048404971,28.21845389425771,10.458044992588073,0,0,1,1,0,1
MEX,Mexico,FALSE,1466934724293.06,11405.7940473759,28.01419611804901,9.34196442593161,0,0,0,1,0,1
MYS,Malaysia,FALSE,407830525989.553,11754.5678336248,26.734117547583317,9.372082265517806,0,0,0,0,0,0
NLD,Netherlands,FALSE,1046540797548.64,59123.318556487,27.676511362830954,10.987397600256136,1,1,0,1,1,1
NOR,Norway,TRUE,596297651035.798,109269.520580298,27.11400579383712,11.601581926718337,1,0,0,1,1,1
PHL,Philippines,FALSE,404353369604.631,3548.06930572116,26.725555009841997,8.17444068069509,0,0,0,0,0,0
SGP,Singapore,FALSE,509017841146.557,90299.0694637269,26.955748904253095,11.410893508659786,0,0,0,0,0,0
SWE,Sweden,FALSE,575071237640.921,54836.8907235124,27.077759761621003,10.912136670564426,0,1,0,1,1,1
THA,Thailand,FALSE,495644697587.661,6909.35281815827,26.929125171473736,8.840775974526013,0,0,0,0,0,0
TWN,Chinese Taipei,FALSE,761430000000,32315,27.35846408122315,10.3833177425996,0,0,1,0,0,1
USA,USA,FALSE,25604848907611,76657.2488844403,30.873802859931764,11.2471124960496,1,0,1,1,1,1
VNM,Viet Nam,FALSE,413445230668.578,4147.69777213621,26.747790889601394,8.330549774135712,0,0,0,0,0,0
