layer,hs_code,hs_desc,year,reporter_code,reporter,partner_code,partner,trade_value_usd,source
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,TWN,Chinese Taipei,AUT,Austria,656769259,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,TWN,Chinese Taipei,BEL,Belgium,1918272502,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,TWN,Chinese Taipei,CAN,Canada,3072894808,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,TWN,Chinese Taipei,CHE,Switzerland,938147454,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,TWN,Chinese Taipei,CHN,China (People’s Republic of),156110867568,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,TWN,Chinese Taipei,CZE,Czechia,743031255,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,TWN,Chinese Taipei,DEU,Germany,10357880775,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,TWN,Chinese Taipei,DNK,Denmark,474976081,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,TWN,Chinese Taipei,FIN,Finland,405536226,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,TWN,Chinese Taipei,FRA,France,2228483918,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,TWN,Chinese Taipei,GBR,United Kingdom,5384782391,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,TWN,Chinese Taipei,HKG,Hong Kong (China),75431001630,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,TWN,Chinese Taipei,HUN,Hungary,1055872953,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,TWN,Chinese Taipei,IND,India,4307209849,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,TWN,Chinese Taipei,IRL,Ireland,596121819,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,TWN,Chinese Taipei,ISR,Israel,1250598119,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,TWN,Chinese Taipei,ITA,Italy,2639416306,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,TWN,Chinese Taipei,JPN,Japan,37245034396,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,TWN,Chinese Taipei,KOR,Korea,26423221920,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,TWN,Chinese Taipei,MEX,Mexico,4534031562,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,TWN,Chinese Taipei,MYS,Malaysia,15686442137,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,TWN,Chinese Taipei,NLD,Netherlands,9422351082,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,TWN,Chinese Taipei,NOR,Norway,261179307,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,TWN,Chinese Taipei,PHL,Philippines,9538577305,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,TWN,Chinese Taipei,SGP,Singapore,33093215795,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,TWN,Chinese Taipei,SWE,Sweden,888351672,OECD_BTIGE
layer2_backend,BTIGE_C261_C265,OECD BTIGE CPA C261+C265,2019,TWN,Chinese Taipei,THA,Thailand,7981558847,OECD_BTIGE
