reporter_code,total_exports,year
AUT,9335056.754,2019
AUT,63186189.881,2019
AUT,311603157.012,2019
AUT,10034.795,2019
AUT,7942983.322,2019
AUT,5993990.503,2019
AUT,294934.313,2019
AUT,85635922.552,2019
AUT,147445319.028,2019
AUT,1712828719.584,2019
AUT,6660993.711,2019
AUT,27760514.046,2019
AUT,103581492.038,2019
AUT,30609260.674,2019
AUT,512566.106,2019
AUT,3147090760.879,2019
AUT,902862.883,2019
AUT,1117394.56,2019
AUT,18916089.707,2019
AUT,498023156.596,2019
AUT,5145445.162,2019
AUT,845744551.542,2019
AUT,4013155.71,2019
AUT,172389.567,2019
AUT,529044.085,2019
AUT,6345328.136,2019
AUT,909382986.799,2019
AUT,38810685.6,2019
AUT,354650.47,2019
AUT,141340048.992,2019
AUT,19019812.075,2019
AUT,6519624.347,2019
AUT,1424575664.822,2019
AUT,640862.135,2019
AUT,635832.982,2019
AUT,473943.956,2019
AUT,82546831.211,2019
AUT,2784833.166,2019
AUT,220784275.532,2019
AUT,4981008011.465,2019
AUT,931.491,2019
AUT,142806011.344,2019
AUT,9874.695,2019
AUT,1926336.998,2019
AUT,8193992.034,2019
AUT,20303672.504,2019
AUT,1474652780.044,2019
AUT,10882895.109,2019
AUT,76233126.731,2019
AUT,6023591381.722,2019
AUT,10722228.664,2019
AUT,837177770.723,2019
AUT,245505.976,2019
AUT,23205539.843,2019
AUT,49909384.228,2019
AUT,12176833.997,2019
AUT,305210.938,2019
AUT,18570435.063,2019
AUT,660867.91,2019
AUT,169162700.847,2019
AUT,937188.086,2019
AUT,6168.886,2019
AUT,1381376.965,2019
AUT,722487410.912,2019
AUT,7501371628.949,2019
AUT,1915483.79,2019
AUT,3390987.202,2019
AUT,4133593.407,2019
AUT,81396709.089,2019
AUT,1295846.652,2019
AUT,6484383.328,2019
AUT,50107811072.26,2019
AUT,16987108.261,2019
AUT,14835615.892,2019
AUT,594784485.356,2019
AUT,2451599.142,2019
AUT,80148.492,2019
AUT,49072.31,2019
AUT,23661229.048,2019
AUT,6794417.416,2019
AUT,878797.512,2019
AUT,1642299.557,2019
AUT,437990.884,2019
AUT,10849868.619,2019
AUT,551997559.957,2019
AUT,6131348403.274,2019
AUT,46921399.916,2019
AUT,264243672.168,2019
AUT,145104597.49,2019
AUT,81456217.004,2019
AUT,383583892.824,2019
AUT,454786764.618,2019
AUT,10808279446.053,2019
AUT,32607634.807,2019
AUT,5062009.584,2019
AUT,1778020879.948,2019
AUT,165784443.269,2019
AUT,50190171.528,2019
AUT,40863425.417,2019
AUT,481952.311,2019
AUT,1321181075.466,2019
AUT,99307628.694,2019
AUT,10272201.176,2019
AUT,10703603.332,2019
AUT,53035831.474,2019
AUT,364217.281,2019
AUT,170077190.568,2019
AUT,1799897.233,2019
AUT,71653646.042,2019
AUT,300372450.947,2019
AUT,204094609.443,2019
AUT,3981620.501,2019
AUT,2951203.871,2019
AUT,2264350.51,2019
AUT,518864760.41,2019
AUT,10981918.599,2019
