Imports/Exports,Time,Commodity Code,Description of Good,Country(Area),Value(USD$ 1000)
Imports,2022,852351, Solid-state non-volatile storage devices,American Samoa,14
Imports,2022,852351, Solid-state non-volatile storage devices,Argentina,48
Imports,2022,852351, Solid-state non-volatile storage devices,Australia,39
Imports,2022,852351, Solid-state non-volatile storage devices,Austria,202
Imports,2022,852351, Solid-state non-volatile storage devices,Belgium,16
Imports,2022,852351, Solid-state non-volatile storage devices,Brazil,1104
Imports,2022,852351, Solid-state non-volatile storage devices,Canada,306
Imports,2022,852351, Solid-state non-volatile storage devices,China,573315
Imports,2022,852351, Solid-state non-volatile storage devices,Costa Rica,0
Imports,2022,852351, Solid-state non-volatile storage devices,Czech Republic,43
Imports,2022,852351, Solid-state non-volatile storage devices,Denmark,182
Imports,2022,852351, Solid-state non-volatile storage devices,Finland,38
Imports,2022,852351, Solid-state non-volatile storage devices,France,537
Imports,2022,852351, Solid-state non-volatile storage devices,Germany,11166
Imports,2022,852351, Solid-state non-volatile storage devices,Hong Kong,1985
Imports,2022,852351, Solid-state non-volatile storage devices,Hungary,874
Imports,2022,852351, Solid-state non-volatile storage devices,India,328
Imports,2022,852351, Solid-state non-volatile storage devices,Indonesia,1
Imports,2022,852351, Solid-state non-volatile storage devices,Ireland,1280
Imports,2022,852351, Solid-state non-volatile storage devices,Israel,171
Imports,2022,852351, Solid-state non-volatile storage devices,Italy,867
Imports,2022,852351, Solid-state non-volatile storage devices,Japan,40493
Imports,2022,852351, Solid-state non-volatile storage devices,Korea Republic of,554287
Imports,2022,852351, Solid-state non-volatile storage devices,Lithuania,12
Imports,2022,852351, Solid-state non-volatile storage devices,Luxembourg,0
Imports,2022,852351, Solid-state non-volatile storage devices,Malaysia,119356
Imports,2022,852351, Solid-state non-volatile storage devices,Mexico,38006
Imports,2022,852351, Solid-state non-volatile storage devices,Netherlands,474
Imports,2022,852351, Solid-state non-volatile storage devices,Norway,1
Imports,2022,852351, Solid-state non-volatile storage devices,Peru,1
Imports,2022,852351, Solid-state non-volatile storage devices,Philippines,67629
Imports,2022,852351, Solid-state non-volatile storage devices,Poland,47
Imports,2022,852351, Solid-state non-volatile storage devices,Portugal,3
Imports,2022,852351, Solid-state non-volatile storage devices,Romania,2
Imports,2022,852351, Solid-state non-volatile storage devices,Russian Federation,8
Imports,2022,852351, Solid-state non-volatile storage devices,Singapore,90646
Imports,2022,852351, Solid-state non-volatile storage devices,South Africa,0
Imports,2022,852351, Solid-state non-volatile storage devices,Spain,109
Imports,2022,852351, Solid-state non-volatile storage devices,Sri Lanka,0
Imports,2022,852351, Solid-state non-volatile storage devices,Sweden,258
Imports,2022,852351, Solid-state non-volatile storage devices,Switzerland,309
Imports,2022,852351, Solid-state non-volatile storage devices,Syrian Arab Republic,1
Imports,2022,852351, Solid-state non-volatile storage devices,Taiwan ROC,413101
Imports,2022,852351, Solid-state non-volatile storage devices,Thailand,139171
Imports,2022,852351, Solid-state non-volatile storage devices,United Kingdom,423
