Imports/Exports,Time,Commodity Code,Description of Good,Country(Area),Value(USD$ 1000)
Imports,2022,280461, Containing by weight not less than 99.99% of silicon,Belgium,0
Imports,2022,280461, Containing by weight not less than 99.99% of silicon,China,14741
Imports,2022,280461, Containing by weight not less than 99.99% of silicon,Denmark,10242
Imports,2022,280461, Containing by weight not less than 99.99% of silicon,Germany,40455
Imports,2022,280461, Containing by weight not less than 99.99% of silicon,Hong Kong,52
Imports,2022,280461, Containing by weight not less than 99.99% of silicon,Israel,0
Imports,2022,280461, Containing by weight not less than 99.99% of silicon,Italy,11499
Imports,2022,280461, Containing by weight not less than 99.99% of silicon,Japan,257866
Imports,2022,280461, Containing by weight not less than 99.99% of silicon,Korea Republic of,6726
Imports,2022,280461, Containing by weight not less than 99.99% of silicon,Liechtenstein,0
Imports,2022,280461, Containing by weight not less than 99.99% of silicon,Malaysia,34574
Imports,2022,280461, Containing by weight not less than 99.99% of silicon,Mexico,0
Imports,2022,280461, Containing by weight not less than 99.99% of silicon,Norway,180
Imports,2022,280461, Containing by weight not less than 99.99% of silicon,Singapore,355
Imports,2022,280461, Containing by weight not less than 99.99% of silicon,Spain,5
Imports,2022,280461, Containing by weight not less than 99.99% of silicon,Taiwan ROC,3821
Imports,2022,280461, Containing by weight not less than 99.99% of silicon,United States,121435
Imports,2022,280461, Containing by weight not less than 99.99% of silicon,Viet Nam,73
Imports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Austria,1384
Imports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Belarus,5
Imports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Belgium,772
Imports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,China,804459
Imports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Czech Republic,108
Imports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Denmark,145
Imports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Estonia,59
Imports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Finland,9042
Imports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,France,149878
Imports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Georgia,7
Imports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Germany,294329
Imports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Hong Kong,905
Imports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Indonesia,7340
Imports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Israel,137
Imports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Italy,12783
Imports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Japan,1687994
Imports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Jordan,1
Imports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Korea Republic of,174690
Imports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Malaysia,88946
Imports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Netherlands,1055
Imports,2022,381800, Chemical elements doped for use in electronics in the form of discs wafers or similar forms; chemical compounds doped for use in electronics,Norway,18
