STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,TRADE_FLOW,Trade flow,END_USE,End-use,PRODUCT,Product,COUNTERPART_AREA,Counterpart area,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.STI.PIE:DSD_BTIGE@DF_BTIGE(1.0),Bilateral Trade in goods by end-use,I,A,Annual,TWN,Chinese Taipei,M,Imports,TOTAL,Total products,CPA_2_1_C26T28,"Computer, electronic and optical products; electrical equipment; machinery and equipment n.e.c.",CPV,Cabo Verde,USD,US dollar,2022,,0,,3,Thousands
DATAFLOW,OECD.STI.PIE:DSD_BTIGE@DF_BTIGE(1.0),Bilateral Trade in goods by end-use,I,A,Annual,TWN,Chinese Taipei,M,Imports,TOTAL,Total products,CPA_2_1_C26T28,"Computer, electronic and optical products; electrical equipment; machinery and equipment n.e.c.",SYC,Seychelles,USD,US dollar,2022,,0,,3,Thousands
DATAFLOW,OECD.STI.PIE:DSD_BTIGE@DF_BTIGE(1.0),Bilateral Trade in goods by end-use,I,A,Annual,TWN,Chinese Taipei,M,Imports,TOTAL,Total products,CPA_2_1_C26T28,"Computer, electronic and optical products; electrical equipment; machinery and equipment n.e.c.",KWT,Kuwait,USD,US dollar,2022,,0,,3,Thousands
DATAFLOW,OECD.STI.PIE:DSD_BTIGE@DF_BTIGE(1.0),Bilateral Trade in goods by end-use,I,A,Annual,TWN,Chinese Taipei,M,Imports,TOTAL,Total products,CPA_2_1_C26T28,"Computer, electronic and optical products; electrical equipment; machinery and equipment n.e.c.",LBR,Liberia,USD,US dollar,2022,,0,,3,Thousands
DATAFLOW,OECD.STI.PIE:DSD_BTIGE@DF_BTIGE(1.0),Bilateral Trade in goods by end-use,I,A,Annual,TWN,Chinese Taipei,M,Imports,TOTAL,Total products,CPA_2_1_C26T28,"Computer, electronic and optical products; electrical equipment; machinery and equipment n.e.c.",SLB,Solomon Islands,USD,US dollar,2022,,0,,3,Thousands
DATAFLOW,OECD.STI.PIE:DSD_BTIGE@DF_BTIGE(1.0),Bilateral Trade in goods by end-use,I,A,Annual,TWN,Chinese Taipei,M,Imports,TOTAL,Total products,CPA_2_1_C26T28,"Computer, electronic and optical products; electrical equipment; machinery and equipment n.e.c.",DJI,Djibouti,USD,US dollar,2022,,0,,3,Thousands
DATAFLOW,OECD.STI.PIE:DSD_BTIGE@DF_BTIGE(1.0),Bilateral Trade in goods by end-use,I,A,Annual,TWN,Chinese Taipei,M,Imports,TOTAL,Total products,CPA_2_1_C26T28,"Computer, electronic and optical products; electrical equipment; machinery and equipment n.e.c.",BHS,Bahamas,USD,US dollar,2022,,0,,3,Thousands
DATAFLOW,OECD.STI.PIE:DSD_BTIGE@DF_BTIGE(1.0),Bilateral Trade in goods by end-use,I,A,Annual,TWN,Chinese Taipei,M,Imports,TOTAL,Total products,CPA_2_1_C26T28,"Computer, electronic and optical products; electrical equipment; machinery and equipment n.e.c.",LCA,Saint Lucia,USD,US dollar,2022,,0,,3,Thousands
DATAFLOW,OECD.STI.PIE:DSD_BTIGE@DF_BTIGE(1.0),Bilateral Trade in goods by end-use,I,A,Annual,TWN,Chinese Taipei,M,Imports,TOTAL,Total products,CPA_2_1_C26T28,"Computer, electronic and optical products; electrical equipment; machinery and equipment n.e.c.",GRD,Grenada,USD,US dollar,2022,,0,,3,Thousands
DATAFLOW,OECD.STI.PIE:DSD_BTIGE@DF_BTIGE(1.0),Bilateral Trade in goods by end-use,I,A,Annual,TWN,Chinese Taipei,M,Imports,TOTAL,Total products,CPA_2_1_C26T28,"Computer, electronic and optical products; electrical equipment; machinery and equipment n.e.c.",BDI,Burundi,USD,US dollar,2022,,0,,3,Thousands
