STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,PATENT_AUTHORITIES,Patent authorities,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,DATE_TYPE,Reference date type,REF_AREA,Reference area,PARTNER_AREA,Counterpart area,AGENT_ROLE,Agent role,COOPERATION_TYPE,Cooperation type,WIPO,World Intellectual Property Organization domains,OECD_TECHNOLOGY_PATENT,Selected OECD technology domains,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,DECIMALS,Decimals,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,JAM,Jamaica,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,MCO,Monaco,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,IRN,Iran,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,BMU,Bermuda,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,MLT,Malta,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,PAK,Pakistan,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,PER,Peru,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,NGA,Nigeria,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,CYM,Cayman Islands,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,BGR,Bulgaria,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,MEX,Mexico,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,ECU,Ecuador,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,NZL,New Zealand,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
DATAFLOW,OECD.STI.PIE:DSD_PATENTS@DF_PATENTS_WIPO(1.0),Patents by WIPO technology domains,I,9P50_1,World Intellectual Property Organization,A,Annual,AP,Patent applications,PATN,Patents,APPLICATION,Application date,EGY,Egypt,_Z,Not applicable,INVENTOR,Inventor,_Z,Not applicable,WIPO_08,Semiconductors,_Z,Not applicable,2021,,0,,A,Normal value,1,One,0,Units
