layer,hs_code,hs_desc,year,reporter_code,reporter,partner_code,partner,trade_value_usd,reporter_rank,reporter_export_share,reporter_selection_reason
layer1_frontend,381800,"Chemical elements; doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics",2022,HKG,"China, Hong Kong SAR",CHN,China,149649740.113,1,0.20348341453719776,coverage_threshold
layer1_frontend,381800,"Chemical elements; doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics",2022,HKG,"China, Hong Kong SAR",USA,USA,1204081.306,1,0.20348341453719776,coverage_threshold
layer1_frontend,848610,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,2022,HKG,"China, Hong Kong SAR",CHN,China,24093974.214,1,0.20348341453719776,coverage_threshold
layer1_frontend,848620,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,2022,HKG,"China, Hong Kong SAR",CHN,China,1215834077.953,1,0.20348341453719776,coverage_threshold
layer1_frontend,848620,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,2022,HKG,"China, Hong Kong SAR",DEU,Germany,3938513.859,1,0.20348341453719776,coverage_threshold
layer1_frontend,848620,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,2022,HKG,"China, Hong Kong SAR",JPN,Japan,19896513.991,1,0.20348341453719776,coverage_threshold
layer1_frontend,848620,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,2022,HKG,"China, Hong Kong SAR",KOR,Rep. of Korea,41581773.202,1,0.20348341453719776,coverage_threshold
layer1_frontend,848620,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,2022,HKG,"China, Hong Kong SAR",MYS,Malaysia,11561263.588,1,0.20348341453719776,coverage_threshold
layer1_frontend,848620,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,2022,HKG,"China, Hong Kong SAR",SGP,Singapore,31495824.078,1,0.20348341453719776,coverage_threshold
layer1_frontend,848620,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,2022,HKG,"China, Hong Kong SAR",USA,USA,247997609.437,1,0.20348341453719776,coverage_threshold
layer1_frontend,848630,Machines and apparatus of a kind used solely or principally for the manufacture of flat panel displays,2022,HKG,"China, Hong Kong SAR",CHN,China,20351456.683,1,0.20348341453719776,coverage_threshold
layer1_frontend,848640,"Machines and apparatus of a kind used solely or principally for the manufacture or repair of masks and reticles, assembling semiconductor devices or electronic integrated circuits, or for lifting, handling, loading or unloading items of heading 8486",2022,HKG,"China, Hong Kong SAR",CHN,China,462243015.567,1,0.20348341453719776,coverage_threshold
layer1_frontend,848640,"Machines and apparatus of a kind used solely or principally for the manufacture or repair of masks and reticles, assembling semiconductor devices or electronic integrated circuits, or for lifting, handling, loading or unloading items of heading 8486",2022,HKG,"China, Hong Kong SAR",DEU,Germany,1254067.662,1,0.20348341453719776,coverage_threshold
layer1_frontend,848640,"Machines and apparatus of a kind used solely or principally for the manufacture or repair of masks and reticles, assembling semiconductor devices or electronic integrated circuits, or for lifting, handling, loading or unloading items of heading 8486",2022,HKG,"China, Hong Kong SAR",JPN,Japan,14823082.425,1,0.20348341453719776,coverage_threshold
layer1_frontend,848640,"Machines and apparatus of a kind used solely or principally for the manufacture or repair of masks and reticles, assembling semiconductor devices or electronic integrated circuits, or for lifting, handling, loading or unloading items of heading 8486",2022,HKG,"China, Hong Kong SAR",KOR,Rep. of Korea,10890851.21,1,0.20348341453719776,coverage_threshold
